rank,task_id,task_symbol,heft_dev,bandit_dev,dev_changed,heft_copy_events,bandit_copy_events,saved_copy_events,heft_copy_bytes,bandit_copy_bytes,saved_copy_bytes
155770,162106,DGEMM,5,4,1,2,1,1,131072,65536,65536
155771,162107,DGEMM,6,4,1,2,1,1,131072,65536,65536
155772,162108,DGEMM,0,4,1,2,1,1,131072,65536,65536
155773,162109,DSYRK,1,4,1,2,0,2,131072,0,131072
155774,162110,DTRSM,2,5,1,2,0,2,131072,0,131072
155775,162111,DGEMM,2,5,1,2,0,2,131072,0,131072
155776,162112,DGEMM,2,5,1,2,0,2,131072,0,131072
155777,162113,DGEMM,2,5,1,2,0,2,131072,0,131072
155778,162114,DGEMM,2,5,1,2,0,2,131072,0,131072
155779,162115,DGEMM,2,5,1,2,0,2,131072,0,131072
155780,162116,DGEMM,2,5,1,2,0,2,131072,0,131072
155781,162117,DGEMM,2,5,1,2,0,2,131072,0,131072
155782,162118,DGEMM,2,5,1,2,0,2,131072,0,131072
155783,162119,DGEMM,2,5,1,2,0,2,131072,0,131072
155784,162120,DGEMM,2,5,1,2,0,2,131072,0,131072
155785,162121,DGEMM,2,5,1,2,0,2,131072,0,131072
155786,162122,DGEMM,2,5,1,2,0,2,131072,0,131072
155787,162123,DGEMM,2,5,1,2,0,2,131072,0,131072
155788,162124,DGEMM,2,5,1,2,0,2,131072,0,131072
155789,162125,DGEMM,2,5,1,2,0,2,131072,0,131072
155790,162126,DGEMM,2,5,1,2,0,2,131072,0,131072
155791,162127,DGEMM,2,5,1,2,0,2,131072,0,131072
155792,162128,DGEMM,2,5,1,2,0,2,131072,0,131072
155793,162129,DGEMM,2,5,1,2,0,2,131072,0,131072
155794,162130,DGEMM,2,5,1,2,0,2,131072,0,131072
155795,162131,DGEMM,2,5,1,2,0,2,131072,0,131072
155796,162132,DGEMM,2,5,1,2,0,2,131072,0,131072
155797,162133,DGEMM,2,5,1,2,0,2,131072,0,131072
155798,162134,DGEMM,2,5,1,1,0,1,65536,0,65536
155799,162135,DGEMM,2,5,1,2,0,2,131072,0,131072
155800,162136,DGEMM,2,5,1,2,0,2,131072,0,131072
155801,162137,DGEMM,2,5,1,2,0,2,131072,0,131072
155802,162138,DGEMM,2,5,1,1,1,0,65536,65536,0
155803,162139,DGEMM,2,5,1,1,1,0,65536,65536,0
155804,162140,DGEMM,2,5,1,1,1,0,65536,65536,0
155805,162141,DGEMM,5,5,0,2,1,1,131072,65536,65536
155806,162142,DGEMM,2,5,1,2,1,1,131072,65536,65536
155807,162143,DGEMM,3,5,1,2,1,1,131072,65536,65536
155808,162144,DGEMM,4,5,1,3,1,2,196608,65536,131072
155809,162145,DSYRK,7,5,1,2,0,2,131072,0,131072
155810,162146,DTRSM,6,3,1,1,0,1,65536,0,65536
155811,162147,DGEMM,6,3,1,1,0,1,65536,0,65536
155812,162148,DGEMM,6,3,1,1,0,1,65536,0,65536
155813,162149,DGEMM,6,3,1,1,0,1,65536,0,65536
155814,162150,DGEMM,6,3,1,1,0,1,65536,0,65536
155815,162151,DGEMM,6,3,1,1,0,1,65536,0,65536
155816,162152,DGEMM,6,3,1,1,0,1,65536,0,65536
155817,162153,DGEMM,6,3,1,1,0,1,65536,0,65536
155818,162154,DGEMM,6,3,1,1,0,1,65536,0,65536
155819,162155,DGEMM,6,3,1,1,0,1,65536,0,65536
155820,162156,DGEMM,6,3,1,1,0,1,65536,0,65536
155821,162157,DGEMM,6,3,1,1,0,1,65536,0,65536
155822,162158,DGEMM,6,3,1,1,0,1,65536,0,65536
155823,162159,DGEMM,6,3,1,1,0,1,65536,0,65536
155824,162160,DGEMM,6,3,1,1,0,1,65536,0,65536
155825,162161,DGEMM,6,3,1,1,0,1,65536,0,65536
155826,162162,DGEMM,6,3,1,1,0,1,65536,0,65536
155827,162163,DGEMM,6,3,1,1,0,1,65536,0,65536
155828,162164,DGEMM,6,3,1,1,0,1,65536,0,65536
155829,162165,DGEMM,6,3,1,1,0,1,65536,0,65536
155830,162166,DGEMM,6,3,1,1,0,1,65536,0,65536
155831,162167,DGEMM,6,3,1,1,0,1,65536,0,65536
155832,162168,DGEMM,6,3,1,1,0,1,65536,0,65536
155833,162169,DGEMM,6,3,1,1,0,1,65536,0,65536
